start_id|end_id|workFrom
24189255817088|548|2008
24189255817088|550|2008
24189255817088|538|2008
24189255817088|540|2008
24189255817088|542|2006
13194139534224|1114|2002
13194139534224|124|2004
26388279072728|928|2005
26388279072728|914|2006
26388279072728|915|2005
26388279072728|924|2007
26388279072728|956|2005
19791209302696|1117|2007
19791209302696|1118|2002
10995116282208|552|2009
10995116282208|538|2005
35184372096144|577|2006
35184372096144|582|2005
35184372096144|583|2005
35184372096144|586|2006
35184372096144|574|2006
30786325581552|209|2001
30786325581552|1297|2001
30786325581552|1299|2001
30786325581552|1300|2001
21990232557296|3|2008
21990232557296|4|2008
15393162796104|931|2007
15393162796104|905|2010
35184372094608|452|2006
35184372094608|474|2010
35184372094608|460|2008
30786325579472|1126|2003
30786325579472|295|2004
30786325579472|185|2003
30786325579472|586|2003
30786325579472|542|2004
24189255816424|928|2003
24189255816424|906|2002
24189255816424|910|2001
28587302322904|540|2005
8796093026712|1492|2002
8796093026712|1530|2004
8796093026712|1482|2004
8796093026712|1516|2003
21990232557696|1061|2004
21990232557696|1063|2012
21990232557696|1051|2004
21990232557696|1055|2005
13194139538840|166|2004
8796093024280|442|2002
8796093024280|462|2003
21990232556112|1321|2004
21990232556112|1322|2004
21990232556112|1323|2003
26388279070288|764|2006
26388279070288|767|2008
35184372094368|1174|2000
35184372094368|1175|2001
35184372094368|11|2001
21990232561264|549|2008
21990232561264|552|2008
21990232561264|410|2008
21990232561264|542|2008
21990232561264|543|2009
5928|976|1998
5928|1002|1999
5928|973|1998
28587302324608|1232|2002
28587302324608|1233|2001
28587302324608|1234|2001
37383395349040|1522|2010
37383395349040|1493|2009
37383395349040|1470|2010
26388279074184|1118|2003
30786325578648|1266|2005
30786325578648|23|2005
30786325578648|24|2007
30786325578648|31|2006
10995116280512|927|2011
21990232561784|1558|2008
21990232561784|1560|2006
6597069773488|864|2001
6597069773488|865|2001
6597069773488|866|2002
15393162795536|483|2004
15393162795536|452|2004
15393162795536|458|2004
15393162795536|1563|2003
10995116283568|549|2009
10995116283568|543|2010
2904|124|2009
2904|126|2008
21990232559432|1466|2004
30786325579592|1186|2003
30786325579592|1206|2002
30786325579592|1194|2004
30786325579592|1213|2003
30786325579592|1182|2004
2199023258712|1320|2003
2199023258712|1322|2006
2199023258712|1323|2006
28587302323072|1557|2006
28587302323072|1559|2010
19791209300304|544|2001
19791209300304|546|2001
19791209300304|547|2012
19791209300304|553|2006
19791209306456|908|2001
37383395351272|1028|2006
37383395351272|1079|2006
30786325578504|548|2007
30786325578504|541|2007
15393162793648|912|2006
15393162793648|915|2006
15393162793648|921|2006
15393162793648|910|2006
8796093023184|545|2010
8796093023184|540|2010
26388279072032|1226|2007
26388279072032|1228|2008
26388279072032|1230|2007
32985348833968|967|2007
32985348833968|953|2007
32985348833968|956|2007
30786325579256|552|2007
30786325579256|538|2007
30786325579256|554|2008
6597069774360|482|2006
6597069774360|443|2005
6597069774360|463|2005
32985348834840|551|2001
32985348834840|539|2000
32985348834840|540|2001
32985348834840|541|2001
32985348834840|543|2000
15393162794520|746|2006
15393162790040|624|2010
15393162790040|663|2008
15393162790040|621|2010
37383395349984|115|2004
17592186045216|1045|2000
17592186045216|1066|2000
17592186045216|1035|2000
6597069766944|594|2007
6597069766944|601|2006
6597069766944|590|2006
26388279070408|956|2004
35184372095016|663|2005
35184372095016|874|2004
35184372095016|650|2005
24189255815880|721|2012
24189255815880|725|2011
24189255815880|718|2011
24189255815880|719|2011
15393162794496|935|2008
15393162794496|924|2009
21990232559816|914|2003
21990232559816|595|2002
21990232559816|920|2002
21990232559816|908|2003
19791209302528|673|2006
19791209302528|675|2006
19791209302528|678|2006
19791209302528|664|2006
19791209302528|666|2004
21990232561760|940|2007
26388279073872|1001|2006
26388279073872|1002|2003
6597069768288|545|2003
6597069768288|554|2004
6597069768288|539|2002
6597069768288|541|2002
19791209301240|210|2012
19791209301240|215|2010
19791209301240|1502|2010
8796093025432|1557|2008
8796093025432|1558|2007
8796093025432|1560|2008
8796093025432|1561|2007
37383395345968|544|2009
35184372090552|1058|2000
35184372090552|1097|2001
35184372090552|1098|2001
35184372090552|1038|2000
6597069772136|595|2008
6597069772136|598|2008
6597069772136|601|2008
6597069772136|589|2007
30786325583224|473|2003
8796093028504|486|2009
8796093028504|470|2008
8796093028504|473|2009
26388279067296|834|2003
26388279067296|839|2004
26388279067296|840|2004
26388279067296|828|2005
26388279067296|831|2002
15393162794144|16|2003
15393162794144|1304|2003
15393162794144|939|2003
15393162794144|844|2003
37383395350896|322|2003
37383395350896|917|2003
37383395350896|937|2002
37383395350896|924|2002
21990232559144|999|2011
21990232559144|940|2007
21990232559144|93|2007
21990232559144|1535|2011
15393162796080|535|2005
15393162796080|536|2006
28587302327880|113|2003
28587302327880|114|2003
28587302327880|115|2002
28587302327880|843|2003
17592186049832|161|2002
17592186049832|151|2002
17592186049832|185|2003
8796093025600|371|2003
8796093025600|374|2003
8796093025600|391|2004
8796093025600|381|2002
10995116282728|841|2006
10995116282728|843|2005
10995116282728|831|2005
3816|888|2009
3816|890|2008
35184372090936|893|2000
35184372090936|894|2000
6597069767464|540|2004
6597069767464|542|2005
6597069767464|543|2005
8796093029080|548|2000
8796093029080|550|1999
8796093029080|551|1999
8796093029080|538|2001
26388279069400|552|2004
35184372092352|1320|2012
35184372092352|1352|2010
35184372092352|1368|2011
35184372092352|1358|2009
2199023257384|916|2004
2199023257384|926|2004
2199023257384|911|2004
10995116284120|918|2008
10995116284120|925|2008
10995116284120|910|2007
4398046518824|915|2011
4398046518824|910|2009
15393162795728|913|2007
15393162795728|917|2008
15393162795728|872|2007
15393162795728|906|2008
15393162795728|925|2008
15393162790184|301|2005
21990232563088|1494|2001
21990232563088|1529|2001
21990232563088|205|2001
28587302326280|735|2010
8796093027720|935|2002
8796093027720|907|2002
8796093027720|927|2001
10995116281920|915|2004
10995116281920|927|2004
15393162793152|1521|2008
15393162793152|1490|2012
15393162793152|1494|2011
15393162793152|1499|2010
32985348836896|915|2004
32985348836896|932|2004
26388279069232|923|2004
15393162792520|50|2008
15393162792520|57|2009
15393162792520|45|2008
15393162792520|77|2009
5160|1557|2005
5160|1558|2011
5160|536|2008
24189255813640|232|2003
24189255813640|234|2002
24189255813640|237|2002
6597069773320|930|2001
6597069773320|915|2001
6597069773320|920|2001
6597069773320|923|2001
10995116281896|1001|2005
13194139538744|145|2011
30786325583392|161|2012
30786325583392|178|2008
30786325583392|137|2010
30786325583392|155|2005
2199023256696|801|2012
2199023256696|787|2012
2199023256696|805|2011
2199023256696|791|2011
2199023256696|783|2012
24189255812008|758|2012
32985348834936|1321|2004
32985348834936|1322|2005
17592186046584|1558|2008
17592186046584|1561|2009
6597069769760|547|2008
6597069769760|548|2002
6597069769760|539|2004
6597069769760|541|2011
26388279069616|758|2002
37383395347048|1184|2004
37383395347048|1186|2005
37383395347048|1197|2004
37383395347048|1117|2004
37383395346208|912|2003
37383395346208|905|2002
37383395346208|907|2003
37383395346208|924|2002
17592186045360|468|2000
17592186045360|488|2000
17592186045360|447|1999
30786325578192|946|2003
35184372093360|920|2001
13194139538552|917|2002
13194139538552|918|2002
13194139538552|937|2001
13194139538552|1549|2002
32985348838648|1323|2009
6597069771352|771|2007
6597069771352|1014|2007
6597069771352|1016|2007
6597069771352|1017|2008
6597069771352|1022|2008
30786325579688|1282|2010
30786325579688|807|2010
30786325579688|791|2010
30786325579688|808|2011
30786325579688|794|2011
32985348837656|1322|2003
8796093026224|550|2012
10995116283712|547|2007
10995116283712|553|2008
10995116283712|539|2006
10995116283712|542|2006
10995116283712|543|2008
3744|467|2005
24189255818488|543|2012
8796093025240|1312|2000
8796093025240|1316|2000
8796093025240|1306|2000
8796093025240|1310|2001
10995116279776|949|2003
10995116279776|966|2003
10995116279776|950|2004
10995116279776|955|2004
8796093028840|1321|2009
8796093028840|1322|2009
13194139535704|770|2008
13194139535704|762|2008
28587302328024|545|2008
6597069773632|931|2001
6597069773632|915|2001
6597069773632|918|2003
6597069773632|907|2002
6597069773632|924|2001
2199023260728|929|2009
2199023260728|927|2008
21990232562168|1086|2003
24189255818680|1300|2010
24189255818680|1302|2011
26388279073536|834|2001
26388279073536|836|2002
26388279073536|839|2001
13194139537152|532|2007
13194139537152|533|2007
13194139537152|536|2008
8796093024048|497|2005
8796093024048|514|2006
8796093024048|507|2005
3264|545|2006
3264|551|2006
3264|541|2005
3264|543|2006
15393162795136|1569|2009
15393162795136|1571|2010
15393162795136|1572|2009
15393162795136|1574|2010
2199023260800|912|2005
2199023260800|921|2005
2199023260800|926|2004
6720|672|2008
6720|678|2009
6720|664|2008
6720|669|2008
10995116281616|817|2011
10995116281616|917|2012
13194139533936|553|2001
13194139533936|539|2002
32985348835128|961|2003
32985348835128|949|2003
32985348835128|953|2003
32985348835128|955|2004
32985348835128|957|2003
10995116279896|897|2006
28587302327064|156|2006
28587302327064|1293|2006
28587302327064|159|2007
28587302327064|143|2006
28587302327064|175|2005
10995116279280|261|1999
10995116279280|280|1999
10995116279280|267|1998
10995116279280|268|1998
2199023255640|915|2003
2199023255640|934|2004
2199023255640|920|2003
2199023255640|907|2004
30786325580440|1542|2006
30786325580440|1543|2002
15393162793128|161|2010
15393162793128|146|2009
15393162793128|162|2009
15393162793128|171|2009
6597069770976|657|2001
32985348834208|545|2005
32985348834208|546|2005
32985348834208|1285|2005
32985348834208|551|2005
17592186044832|809|1999
17592186044832|811|1999
17592186044832|813|1998
13194139534616|1295|2005
2112|196|1999
2112|203|1998
2112|204|1999
8796093028296|1557|2012
8796093028296|1559|2012
8796093028296|1561|2012
15393162792096|1226|2006
15393162792096|1228|2006
13194139538528|946|2000
13194139538528|941|2000
13194139538528|942|2001
2199023259120|930|2009
2199023259120|920|2009
2199023259120|937|2009
2199023259120|922|2010
2199023259120|910|2008
17592186051920|470|2009
30786325583752|131|2008
30786325583752|428|2007
30786325583752|1292|2006
30786325583752|60|2007
26388279066720|928|2004
26388279066720|916|2004
26388279066720|925|2004
21990232562968|1559|2006
21990232562968|1560|2006
19791209305136|400|2009
19791209305136|399|2011
24189255818960|1264|2006
24189255818960|1242|2004
24189255818960|1244|2005
24189255818960|399|2005
6597069767200|965|2011
6597069767200|966|2011
6597069767200|952|2010
6597069767200|955|2011
6597069767200|957|2011
37383395346720|329|2003
37383395346720|319|2002
30786325578384|933|2001
30786325578384|925|2000
28587302329824|552|2005
28587302329824|540|2006
28587302329824|541|2006
28587302329824|542|2006
8796093024808|560|2008
8796093024808|577|2009
7488|912|2002
7488|913|2002
7488|931|2002
7488|938|2002
24189255818440|803|2003
15393162790088|544|2011
15393162790088|551|2011
15393162790088|553|2011
15393162790088|542|2010
15393162792288|981|2005
4398046513016|545|2009
4398046513016|546|2009
4398046513016|539|2007
4398046513016|540|2008
4398046513016|542|2007
21990232561456|1320|2003
21990232561456|1321|2004
21990232561456|1324|2003
8796093025072|510|2011
26388279073632|553|2007
35184372096528|225|2003
35184372096528|231|2003
2199023261248|1226|2011
2199023261248|1227|2012
2199023261248|1229|2011
26388279067080|548|2011
26388279067080|551|2011
26388279067080|107|2010
26388279067080|541|2011
26388279067080|542|2009
32985348838320|1539|2011
32985348838320|1545|2009
32985348838320|1550|2011
24189255813880|139|2007
13194139537656|825|2001
13194139537656|826|2000
17592186049712|137|2005
19791209305608|1176|2009
19791209305608|1179|2008
19791209305608|1180|2010
19791209299968|548|2007
4176|962|2001
4176|954|2001
2199023261016|232|2009
35184372090072|768|2009
35184372090072|770|2010
35184372090072|762|2009
21990232556376|546|2008
